parameters,"Baldwin, Alabama, US","Elmore, Alabama, US","Jefferson, Alabama, US","Limestone, Alabama, US","Montgomery, Alabama, US","Tuscaloosa, Alabama, US","Anchorage,Alaska,US","Maricopa, Arizona, US","Pima, Arizona, US","Pinal, Arizona, US","Jefferson, Arkansas, US","Alameda, California, US","Contra Costa, California, US","Fresno, California, US","Humboldt, California, US","Imperial, California, US","Los Angeles, California, US","Madera, California, US","Marin, California, US","Orange, California, US","Placer, California, US","Riverside, California, US","Sacramento, California, US","San Benito, California, US","San Diego, California, US","San Francisco, California, US","San Joaquin, California, US","San Luis Obispo, California, US","San Mateo, California, US","Santa Clara, California, US","Santa Cruz, California, US","Shasta, California, US","Solano, California, US","Sonoma, California, US","Stanislaus, California, US","Tulare, California, US","Ventura, California, US","Yolo, California, US","Adams, Colorado, US","Arapahoe, Colorado, US","Boulder, Colorado, US","Denver, Colorado, US","Douglas, Colorado, US","Eagle, Colorado, US","El Paso, Colorado, US","Gunnison, Colorado, US","Jefferson, Colorado, US","Larimer, Colorado, US","Mesa, Colorado, US","Pitkin, Colorado, US","Pueblo, Colorado, US","Routt, Colorado, US","Summit, Colorado, US","Weld, Colorado, US","Fairfield, Connecticut, US","Hartford, Connecticut, US","Litchfield, Connecticut, US","New Haven, Connecticut, US","New Castle, Delaware, US","Alachua, Florida, US","Broward, Florida, US","Charlotte, Florida, US","Citrus, Florida, US","Clay, Florida, US","Collier, Florida, US","Duval, Florida, US","Hillsborough, Florida, US","Lee, Florida, US","Manatee, Florida, US","Miami-Dade, Florida, US","Nassau, Florida, US","Okaloosa, Florida, US","Orange, Florida, US","Osceola, Florida, US","Palm Beach, Florida, US","Pasco, Florida, US","Pinellas, Florida, US","St. Johns, Florida, US","Santa Rosa, Florida, US","Sarasota, Florida, US","Seminole, Florida, US","Volusia, Florida, US","Bartow, Georgia, US","Cherokee, Georgia, US","Clarke, Georgia, US","Clayton, Georgia, US","Cobb, Georgia, US","Coweta, Georgia, US","DeKalb, Georgia, US","Dougherty, Georgia, US","Fayette, Georgia, US","Floyd, Georgia, US","Fulton, Georgia, US","Gordon, Georgia, US","Gwinnett, Georgia, US","Henry, Georgia, US","Lee, Georgia, US","Lowndes, Georgia, US","Newton, Georgia, US","Polk, Georgia, US","Honolulu, Hawaii, US","Kauai, Hawaii, US","Maui, Hawaii, US","Ada, Idaho, US","Blaine, Idaho, US","Cook, Illinois, US","DuPage, Illinois, US","Kane, Illinois, US","Lake, Illinois, US","McHenry, Illinois, US","St. Clair, Illinois, US","Sangamon, Illinois, US","Boone, Indiana, US","Hamilton, Indiana, US","Hendricks, Indiana, US","Howard, Indiana, US","Johnson, Indiana, US","LaPorte, Indiana, US","Marion, Indiana, US","Noble, Indiana, US","St. Joseph, Indiana, US","Carroll, Iowa, US","Dallas, Iowa, US","Harrison, Iowa, US","Johnson, Iowa, US","Pottawattamie, Iowa, US","Butler, Kansas, US","Franklin, Kansas, US","Johnson, Kansas, US","Wyandotte, Kansas, US","Fayette, Kentucky, US","Harrison, Kentucky, US","Jefferson, Kentucky, US","Bossier, Louisiana, US","Caddo, Louisiana, US","Jefferson, Louisiana, US","Lafourche, Louisiana, US","Orleans, Louisiana, US","St. Charles, Louisiana, US","St. John the Baptist, Louisiana, US","St. Tammany, Louisiana, US","Terrebonne, Louisiana, US","Androscoggin, Maine, US","Cumberland, Maine, US","Anne Arundel, Maryland, US","Baltimore, Maryland, US","Carroll, Maryland, US","Charles, Maryland, US","Harford, Maryland, US","Montgomery, Maryland, US","Prince George's, Maryland, US","Baltimore City, Maryland, US","Barnstable, Massachusetts, US","Berkshire, Massachusetts, US","Bristol, Massachusetts, US","Essex, Massachusetts, US","Middlesex, Massachusetts, US","Norfolk, Massachusetts, US","Suffolk, Massachusetts, US","Worcester, Massachusetts, US","Bay, Michigan, US","Ingham, Michigan, US","Kent, Michigan, US","Macomb, Michigan, US","Monroe, Michigan, US","Montcalm, Michigan, US","Oakland, Michigan, US","St. Clair, Michigan, US","Washtenaw, Michigan, US","Wayne, Michigan, US","Anoka, Minnesota, US","Carver, Minnesota, US","Dakota, Minnesota, US","Hennepin, Minnesota, US","Olmsted, Minnesota, US","Ramsey, Minnesota, US","Pearl River, Mississippi, US","Greene, Missouri, US","Henry, Missouri, US","St. Louis, Missouri, US","Gallatin, Montana, US","Missoula, Montana, US","Silver Bow, Montana, US","Yellowstone, Montana, US","Douglas, Nebraska, US","Clark, Nevada, US","Washoe, Nevada, US","Grafton, New Hampshire, US","Rockingham, New Hampshire, US","Bergen, New Jersey, US","Burlington, New Jersey, US","Camden, New Jersey, US","Essex, New Jersey, US","Hudson, New Jersey, US","Hunterdon, New Jersey, US","Mercer, New Jersey, US","Middlesex, New Jersey, US","Monmouth, New Jersey, US","Morris, New Jersey, US","Ocean, New Jersey, US","Passaic, New Jersey, US","Somerset, New Jersey, US","Union, New Jersey, US","Bernalillo, New Mexico, US","Sandoval, New Mexico, US","Santa Fe, New Mexico, US","Albany, New York, US","Broome, New York, US","Delaware, New York, US","Dutchess, New York, US","Erie, New York, US","Herkimer, New York, US","Monroe, New York, US","Nassau, New York, US","New York City, New York, US","Orange, New York, US","Rockland, New York, US","Saratoga, New York, US","Schenectady, New York, US","Suffolk, New York, US","Tompkins, New York, US","Ulster, New York, US","Westchester, New York, US","Brunswick, North Carolina, US","Cabarrus, North Carolina, US","Craven, North Carolina, US","Durham, North Carolina, US","Forsyth, North Carolina, US","Harnett, North Carolina, US","Johnston, North Carolina, US","Mecklenburg, North Carolina, US","Onslow, North Carolina, US","Wake, North Carolina, US","Wayne, North Carolina, US","Ward, North Dakota, US","Belmont, Ohio, US","Butler, Ohio, US","Cuyahoga, Ohio, US","Franklin, Ohio, US","Lorain, Ohio, US","Lucas, Ohio, US","Stark, Ohio, US","Summit, Ohio, US","Trumbull, Ohio, US","Tuscarawas, Ohio, US","Oklahoma, Oklahoma, US","Tulsa, Oklahoma, US","Clackamas, Oregon, US","Deschutes, Oregon, US","Douglas, Oregon, US","Jackson, Oregon, US","Klamath, Oregon, US","Linn, Oregon, US","Marion, Oregon, US","Multnomah, Oregon, US","Polk, Oregon, US","Washington, Oregon, US","Allegheny, Pennsylvania, US","Bucks, Pennsylvania, US","Chester, Pennsylvania, US","Cumberland, Pennsylvania, US","Delaware, Pennsylvania, US","Monroe, Pennsylvania, US","Montgomery, Pennsylvania, US","Northampton, Pennsylvania, US","Philadelphia, Pennsylvania, US","Pike, Pennsylvania, US","Washington, Pennsylvania, US","Wayne, Pennsylvania, US","Providence, Rhode Island, US","Beaufort, South Carolina, US","Charleston, South Carolina, US","Kershaw, South Carolina, US","Lancaster, South Carolina, US","Lexington, South Carolina, US","Spartanburg, South Carolina, US","Beadle, South Dakota, US","Minnehaha, South Dakota, US","Pennington, South Dakota, US","Davidson, Tennessee, US","Hamilton, Tennessee, US","Knox, Tennessee, US","Rutherford, Tennessee, US","Shelby, Tennessee, US","Sullivan, Tennessee, US","Williamson, Tennessee, US","Bell, Texas, US","Bexar, Texas, US","Brazoria, Texas, US","Collin, Texas, US","Dallas, Texas, US","El Paso, Texas, US","Fort Bend, Texas, US","Galveston, Texas, US","Gregg, Texas, US","Harris, Texas, US","Hays, Texas, US","Montgomery, Texas, US","Smith, Texas, US","Tarrant, Texas, US","Travis, Texas, US","Davis, Utah, US","Salt Lake, Utah, US","Summit, Utah, US","Bennington, Vermont, US","Chittenden, Vermont, US","Washington, Vermont, US","Windsor, Vermont, US","Arlington, Virginia, US","Chesterfield, Virginia, US","Fairfax, Virginia, US","Hanover, Virginia, US","James City, Virginia, US","Loudoun, Virginia, US","Prince William, Virginia, US","Spotsylvania, Virginia, US","Harrisonburg, Virginia, US","Clark, Washington, US","Columbia, Washington, US","Grant, Washington, US","Island, Washington, US","Jefferson, Washington, US","King, Washington, US","Kitsap, Washington, US","Kittitas, Washington, US","Pierce, Washington, US","Skagit, Washington, US","Snohomish, Washington, US","Spokane, Washington, US","Thurston, Washington, US","Whatcom, Washington, US","Yakima, Washington, US","Dane, Wisconsin, US","Fond du Lac, Wisconsin, US","Milwaukee, Wisconsin, US","Pierce, Wisconsin, US","Racine, Wisconsin, US","Sheboygan, Wisconsin, US","Waukesha, Wisconsin, US","Winnebago, Wisconsin, US","Fremont, Wyoming, US","Sheridan, Wyoming, US"
L,114.67768783969335,80.1901805332159,702.9743186064435,36.08103455219484,188.88061553069232,240.99734459297,136.75451644997895,2181.890469206198,803.1809523274117,222.29297266285909,135.83405082750158,1145.7332275094293,702.1045571276281,267.4003221951328,52.64615593528321,92.47692285816943,10375.327833419113,31.145077811605248,169.76402959512953,1463.1433728478837,131.46474920756387,1995.7873494354142,974.4502679841877,49.68721781621707,2050.6618646767943,1209.5901046167048,300.9056336497173,108.57712680843707,757.2925184904336,1780.130845332538,106.3681917908858,26.512823651197998,190.96486452572873,164.58829173656753,192.04515580616768,365.20634842854173,346.80180187529487,306.7328567153504,955.0389923104307,1479.872899551687,363.2580537206783,1585.217598326917,334.4434671201657,494.80291831468924,674.0914215110333,98.88621011413908,861.6884380227644,199.27937131720873,43.156454228229904,63.119406743907994,62.632347898037246,39.60175494756014,73.6215702320689,918.3193155849289,7134.899988875611,5439.561842920138,702.1742084777335,5611.78930860789,1268.5423494112265,245.97714507272127,3544.70397146684,173.9940602894426,103.57106025162346,359.37115577994723,437.3981129945618,762.4509876517575,836.6399414852857,719.0977963393323,300.53592155402873,8212.28191932943,37.31539475295559,129.8758973325409,998.4924636350185,354.1336122292995,1837.671964681947,193.32337042826177,476.7071019507011,180.7418317509624,168.2889058294705,269.62418322241814,270.9655906072631,224.1964547821499,224.5504007756107,240.01577131122514,90.86483483208904,396.1285336052656,933.4538426318094,136.27639805084752,1162.1481742696183,1370.264732523884,117.45095225561859,112.35078017661971,1779.1716688971724,43.907614439358596,854.5187344865471,303.033950044066,293.99547495862873,105.55921939551068,95.3798525668466,23.73197298715233,382.42580639362245,21.17319549047902,264.27290712355665,515.119147200391,463.19027816580126,21523.61141715532,1719.3273160686394,583.0849336867402,2315.2194014285037,322.9634832192906,347.7716129045599,56.966741524030084,128.56631799485325,518.2989437449792,368.9498153553642,63.276772550559215,408.99092084302544,36.395353026975,3331.8808917803935,15.013077254970552,263.57967883227695,2.0002148192987277,37.73742321825048,11.517278692657992,931.4162722739359,20.192250813417907,10.393310953956261,11.567376712245089,345.9643413650351,475.43150799417714,159.14008646672997,15.483091788923947,583.492139777653,205.31874335328914,1169.507024693111,5439.471064384662,528.2920535812616,6166.686603680638,410.1900878699214,566.4646847849791,937.693154735919,276.9638825741968,31.478548464849247,310.01662891666336,1025.7420815143582,1940.5513877498722,257.0823989427953,390.25935290382716,340.23589280886347,3685.0044917656605,3617.6232229961133,1269.3971708512936,517.551632686665,360.8755147728523,1936.1040722525074,5144.915977693292,10602.601593565134,4631.455020201427,7804.808518219623,3102.989164733282,73.47444567085631,257.97318660359286,421.64906707793807,3827.9988270382314,221.99782516156253,24.03233703452683,5838.991733590766,248.56489547014908,722.0944811562066,12493.542821795641,96.535184963138,10.947603403518066,110.53515574605997,2059.167279824182,171.94349947669843,237.83846260364888,142.9449417771323,79.91723079965794,437222.45853218524,2054.66117063562,140.1712004123185,37.739103259960615,11.126145700969314,63.60410998776812,377.7275759185486,2660.4180000442493,557.7051637148618,45.72288410118746,376.2013799605818,11207.373909350143,1371.3227385298997,2010.4562065522707,9064.598988272322,9157.600518392297,379.67791800168163,2631.9529354264314,7621.181083312907,4554.565274250603,3741.6969005111305,4044.502619246647,6441.695166683368,2715.957008022368,7632.7802310257775,669.9369146861516,340.49632772310855,79.81777961111955,659.8754709053748,164.81104265710678,43.45007938160855,2224.9996098028846,1865.9282691062156,55.25785244564791,922.6226482589931,29702.415660686438,122041.19075839852,6512.939356065064,8574.373681233066,198.08464416559886,276.2565127008788,25440.443367508982,111.53643967097084,1082.6662617176405,20526.001549798217,39.27461932250624,315.89806458185416,33.23768962950659,375.03968318525864,124.92795705339128,75.86672904474068,268.6077953280908,1055.7601511191247,46.69637739058539,541.9223282812004,93.96813494663047,22.801866446142853,129.99151044733148,185.67661212430795,1253.8708291746198,1093.3530577840315,214.26214987153273,571.4610398037787,182.11827491308438,261.42232376356253,207.11025626639338,28.146590555681225,549.1633094756046,351.08400373590706,163.14741460574257,65.5999772853419,14.247289529493397,49.43249080677705,27.265305200233538,56.4622926510872,274.7825781879429,488.48439954784834,30.771456946120875,381.8266723976994,939.08124069084,1739.1230141714907,1065.075603494439,227.03769448134545,2992.6680226094813,871.7112383240978,3608.7508701204492,1199.822563533083,8194.695880082138,275.35546501240185,74.65250449830654,82.29904237250908,2423.1874415860193,197.8625262899191,347.13533657464956,201.1925531797177,79.36089754632559,313.5891148365256,226.655254815832,21.230292626658954,3456.1274802110674,9.116295042950771,1448.357561976757,120.32672500709396,188.2550098912421,276.20761904360535,1553.5802993438951,50.71830959277872,361.23774255100477,128.15210739142802,1220.4656628381874,258.6705101101249,577.5449475871336,2048.79225455089,647.9645675690464,815.5242318140758,410.05923760763596,51.32856922347274,5247.472821404309,92.2031977403574,317.69358435682096,127.02519888541141,1171.4966038260445,985.9044348289209,223.35447906780965,1407.0007164381161,317.23386870861907,35.81215625924088,403.2462614517802,27.891650724790605,23.80323788102361,782.46474867147,256.10356839224727,4897.6086176851195,67.01444957250146,132.735688486869,407.2293630913741,785.6944828470112,65.26743713369454,346.9348030288327,241.1053488246676,2.0002148192987277,121.80189907660326,159.49548354923246,33.26074937658308,5491.546930289181,139.68639178618764,16.20916551805371,1116.584460109421,189.08347073688395,2040.408803659569,267.3859484559009,86.91518199812957,275.06852803802366,616.7794993284244,334.73483220496655,226.62023287713927,1987.131639091875,7.417131866450344,197.63043725487802,62.46729562100188,229.31443175176173,28.367556503527307,44.53688870481849,13.668357596501291
x0,25.738929302110574,33.05375620464501,20.958265261960026,15.508097822231903,27.236368498362378,29.754537133753445,18.901043886056424,68.1314617020832,27.00159242725178,30.33111926761693,23.323306634181563,33.92422874582677,31.47151250403849,30.013820648863554,39.55415470224692,21.55780104656023,69.05870717584513,22.125362066858937,19.346489439569922,68.28450941068257,28.933256132201812,29.756127199728255,45.336475923783354,62.14190647459828,52.5554181450247,31.56395827774907,21.244212737428615,11.804992103634639,29.33591119324266,60.644725927488814,22.87235803034204,25.68077037302664,28.948174599232587,30.50972155667883,28.85471751815934,28.19281273513724,23.671813998183058,43.876349529474446,27.943531328963218,28.528587966421775,22.18724187603349,30.276262606532214,26.486015772925064,21.77570625753915,26.731028357415177,15.893494318419135,23.73455433731091,21.29949415211615,21.437500651312448,21.59349326529311,22.01974300812981,19.31887222723617,27.530115725747283,23.5640531575494,26.728714370798563,32.164456322590134,30.1287867049949,28.332390833504483,28.160254094900413,24.673875741464748,28.059364919209518,31.348058110897888,23.819928413305156,31.83604251313714,24.33798917044869,22.15761988959128,31.61343930133733,28.734582474058026,29.5115861416761,23.984681019675616,23.459166886358112,28.52476851586968,18.99478682020674,19.78843915070793,22.380186500476533,25.120940037780812,21.707119372509577,18.9761265360866,33.88043056160924,22.44067674471437,20.925739645292648,25.772461412878965,16.85045528730189,26.72427032439918,15.957340996280642,19.92089181844143,29.027460736201917,23.59692662924148,26.578274998372592,21.45435984670718,24.379034292101455,22.38923289389127,31.955444942503927,22.305771233028302,26.159192798563165,21.408583574347233,23.972689579419864,28.572653647022033,20.187568394016136,23.225885983755816,25.54407079468228,16.76862441881514,35.03086621108656,18.914027389709,17.68457887044058,75.19678017220453,25.1049450932177,28.9521657677115,29.39809605243044,27.195290751062934,28.2212867712717,21.80702298228853,27.119567137000583,19.887676421947887,28.297793286870487,25.414752049349552,26.46947949421037,21.006551906108285,29.31479482025119,24.946986922586923,27.36646163658846,271.0124154049422,14.184232673731701,13.94835617918812,46.672455929653935,29.616105342255715,17.488244812205462,16.330293007240464,26.254985866205395,26.07625457494836,24.592919138068776,12.937288946074569,27.31112599791213,19.895249114830612,23.644966834115923,21.83292846820472,22.387528134111133,22.295014754491024,20.492046345782935,20.592896174989946,22.482955120146993,21.34835738276059,21.734477399519307,15.166736387078592,27.070849404108834,28.119870865130988,21.737915015929808,27.246567825481414,37.75683585533737,38.35089215946207,31.746230582463042,25.099182434223525,18.693676019024256,23.540293863680173,25.586838906210687,29.647562348441863,36.644970744802464,38.490233696078235,67.35227136567374,30.13748945363969,24.501118308821226,20.368930109228202,25.586414834333798,21.720320056275675,20.9355207857594,21.720561219051653,24.40097867992268,24.778107721089704,19.031424841981497,23.294582834891383,27.83567262953221,13.152215544496853,21.793406743966177,41.60535825116498,24.34264527001745,33.828976359546644,26.470059476956113,16.03592724165562,187.39048090261923,28.77113913978197,16.862058751978644,20.105549356818628,12.01043200252889,18.34884717290554,33.433708774132214,29.693037450149276,31.276498825837518,24.27841383456271,26.74632938726066,30.149515857667517,27.64226581876622,30.369410900177254,24.877324387890113,29.339608220902583,20.827970600427825,28.30243059272646,27.127057874463567,25.898009580643038,24.4088535024706,22.362903998365777,26.120511599353872,28.15716447170951,27.017722488338123,28.470879308320672,26.67238411862311,19.180603923259405,24.5285264124876,24.370043580225957,21.340799327477146,24.60488112418506,21.33372611554039,26.47785177273932,22.41319636186779,31.132596649907413,32.6548237004535,24.49751587876244,26.991447318604944,22.5063466214111,23.653501205867936,27.741589863566308,15.345686838190863,32.751679056275655,28.63230278479108,18.91540239403254,32.75215345601976,23.068253887623626,23.68497477560475,20.426805698720617,27.450495861696282,34.2043943233853,20.86106031442337,25.679326266247084,31.53293644109249,27.121996190977896,20.717468401112875,32.65201029912938,25.08151952019626,22.50073050661276,21.01376089778969,21.0478906057651,20.788681151358233,24.9682959517504,18.635014624779817,24.8984565276078,17.781007976877692,22.00733968069848,26.930799277621645,24.32853663614325,22.761922762381538,22.943914834073286,26.02714142178318,28.812585982799437,14.942358787224846,23.55050467388375,26.54127198590172,19.958018520214893,31.883946282303647,19.707362977999455,28.43707058569869,29.421323686780948,30.057039735769738,36.12824963943779,24.64490985813524,32.67210998812582,23.626503707941477,27.711007014358565,25.834724197215866,19.746176508963384,32.18252840130731,41.76406613501826,17.73623828475682,24.29647051893929,23.12957325956046,25.436024727887343,25.54014796631034,29.222206767360777,12.401881366412367,38.92755451808859,20.678883307481406,26.368997535510143,20.023528623499192,21.826529210463278,22.26020120210485,28.365429322787172,26.26436493736823,27.664230132679712,22.247871492408102,27.924659571817422,20.566146788908952,27.39169297401118,24.1506179314303,30.943555745145265,34.412366529666116,22.131404605606907,28.206144523578544,34.43084484634556,19.109511746879864,24.839715419348916,23.459126304427883,27.897820004730047,24.104718776652597,26.426580428129064,23.20100562452491,19.07832609543989,23.477590897822875,21.37734142776073,16.70297781591711,9.83966104368794,33.830427250157896,23.504929959656266,44.20245043239314,30.820777672643416,15.243405670336317,27.51850521310677,29.73566034508341,28.85399072466957,35.989804372719895,25.53088876122006,271.0124154049422,26.4858823055429,17.63396470457903,24.75170852138122,71.36999939558436,21.3605236468365,19.650677581723144,27.198946007305878,17.64131759812961,29.088016848975496,16.466915485986178,20.035960527725813,19.729263527966683,22.774970949229417,18.650930611321797,45.491597868835484,21.084103897931524,16.026868626512158,28.52323255001346,27.708848735074525,20.407182975100614,16.61469310428244,15.481941101252973,15.97530863179353
k,0.18472980006815756,0.09938284244979095,0.1736612416119563,0.30610379389924336,0.1751637035213854,0.1565189309969521,0.20673701067157627,0.22298516013075426,0.20265550033715568,0.16048410905336769,0.16143898357957057,0.16767717421360287,0.1690707096025601,0.19875593392019192,0.3243198100446665,0.24236834910253854,0.2370949461116418,0.33062320424238895,0.19209307868756914,0.19307818629901574,0.24679636381360912,0.24476607336486358,0.17219580492321324,0.1332378826963043,0.21159269842040246,0.1474692956397297,0.18748076873756295,0.24131275959163162,0.18532795587922585,0.16642739226516276,0.14600978386478888,0.3405849467023224,0.14610646652748713,0.1877296902422245,0.17569161742701617,0.20737490760680682,0.21848445824580895,0.1377972161401063,0.1902801102389817,0.19212740538265405,0.15386239332011084,0.16834836165832465,0.1973418556555868,0.17604670408529235,0.19862417888027242,0.2960633054171668,0.21295094619522822,0.21242073556806984,0.19538409960142752,0.0984273666802836,0.26792615855908386,0.22783910754046266,0.2517495863274945,0.2043700689885222,0.2142809798635954,0.17361069594386383,0.173400079834412,0.21071719934015992,0.2073952293350903,0.15173903294055127,0.19480451736568022,0.20911978393754588,0.17545942772360854,0.1527339489345122,0.1872111788590892,0.2480067745194205,0.22081475977685752,0.22714405487839662,0.21340245054717605,0.23830962829650262,0.26746889621915004,0.1627346963868789,0.2831862935756008,0.25183032544064937,0.22581650655853525,0.22058130537177142,0.2896582529923133,0.27207947947586925,0.1764024878378613,0.21044357840957956,0.2518258654770908,0.23797066142174514,0.17703415390214544,0.174523626123746,0.20837024543726868,0.26406318209120777,0.18385955354838857,0.1944034200085387,0.18313294876134636,0.2250608481977848,0.200770530869672,0.27099231849297906,0.20186165694530078,0.14260068158748834,0.225261031212601,0.2467458631976482,0.22689811542756097,0.1359707268451074,0.2302337719645654,0.20224345336922495,0.24156189621169802,0.21998703820452575,0.12580542577273465,0.350409852019788,0.37666458450211404,0.17816079732658457,0.1735430993349349,0.17757892203140077,0.17387666286579417,0.1951905110288664,0.18940903902974598,0.18720111204749948,0.2580326607379384,0.27195588531613607,0.2597903909883503,0.18806413355538487,0.19986644517605778,0.2818266415817528,0.2303022673425365,0.3822323348649568,0.2034200155374155,8.406488979005185e-07,0.309376096301439,0.29012692690327935,0.10054697249495852,0.1410937032716796,0.14899790880570096,0.2727012207995685,0.18789215075448518,0.19956843492650847,0.28365710887077794,0.09493912636868604,0.19862164693962114,0.24276444711847833,0.2599034366865779,0.29379599952463065,0.30630601604746427,0.25633101011562714,0.3882929506694661,0.3375493854730057,0.2937409481277157,0.3324247552158288,0.20991170813780125,0.20432417327456925,0.2074191515098498,0.2183925904722926,0.2522915254746168,0.2249801042781348,0.17025176029780362,0.16632582223472822,0.2180734239650782,0.19834513323681424,0.26294434249099247,0.22693049231807433,0.20256751544400892,0.19009746034753724,0.16936508836141406,0.17088808428243776,0.19577078805270584,0.19452632020250848,0.24490345671077615,0.2916378552358372,0.16789963585585008,0.24245892393888238,0.23347154211099616,0.26016741559887585,0.21987751069647998,0.2682827373984204,0.27431814949776917,0.254009978521154,0.16079613615228627,0.28990244670605203,0.16257482236655255,0.10472798924354318,0.17875305271599504,0.1363433613330134,0.14379522689250548,0.231747779051059,0.07472256827531064,0.2151531134879975,0.2615221905284279,0.15965297950586366,0.42364085362489096,0.1937528680315394,0.1443740455255812,0.22055516103345635,0.19271393998195613,0.1927092728466904,0.1977373832187124,0.23867236772875156,0.2577299441729085,0.2191259138286781,0.2357505055700087,0.24994144626542222,0.2250499173532562,0.2082463150436933,0.22481309027173088,0.22317326848014418,0.2373431069462285,0.24909185044121746,0.27587676362500907,0.19438164285431672,0.25302580881654957,0.1757346703393046,0.23873434360122228,0.21205373333439725,0.12334269373561145,0.20380794537861496,0.2666687747462005,0.22938330689389314,0.23574541860401935,0.17268973510399935,0.20955969480368908,0.1901424984798181,0.186824403941807,0.20472869305027686,0.23168700671082837,0.19808360898971955,0.14189160740312723,0.22219874998211508,0.2989981254051688,0.16833284837252488,0.19581744643133156,0.16594449935647118,0.13792022274461105,0.20367498364311415,0.145262316276195,0.2664418882412636,0.12101201149473612,0.18819333169276684,0.21738720135297365,0.22075674069042692,0.18171350587589172,0.35510118501047727,0.18946653692649246,0.17485611569590534,0.16335741361217856,0.20738953912514377,0.22353826205720048,0.1582037054132359,0.2508413277430096,0.21247381722614675,0.2332983315760401,0.2203997077683846,0.32937841313976,0.1904835266883362,0.31521590743655303,0.16974587414667958,0.1547668378895014,0.2325481954999171,0.2477348967635851,0.27946855996025594,0.12677410369067377,0.22282796379335365,0.186213925607968,0.2562455701137761,0.1749037274730065,0.2400718493697343,0.2007154493256373,0.1581089059646006,0.14680513935243866,0.1875239170414061,0.28232319045461324,0.17226417315429554,0.29843405352737473,0.23828537677570194,0.23263744286111168,0.22353509908627098,0.2382861979853159,0.1953296830906423,0.30232432633020345,0.30015381625562154,0.16722513912155373,0.21973523684646046,0.19061601800997402,0.240423229334939,0.36981389574048634,0.24563412995027106,0.17600071119955335,0.17006170118932626,0.21267381178431,0.24755696479562075,0.2442249725531374,0.18773390859879824,0.20267301686773642,0.2014210333134069,0.161234075669141,0.17524068661441547,0.20852074679021454,0.18452591893155343,0.19629706445044134,0.17603854356109752,0.1792056486672794,0.2527407816519379,0.28173621182889436,0.23718269307679737,0.24292727742928089,0.19872128001687792,0.1680334729834311,0.17816505998272386,0.1761872631169805,0.20358245789908244,0.1887993692566868,0.21688837165461256,0.16925013267087202,0.2280673135447898,0.2518393620319489,0.25273097422330043,0.15033498680611027,0.24805358448481504,0.1450203958719615,0.2268670322490397,0.22109050931583185,0.2105129994715491,0.17880042478318212,0.2704309031562035,0.20466064470118311,0.22200499864984247,8.406488979005185e-07,0.18726484538357585,0.24415398752251932,0.16078915410823227,0.13466659853641597,0.23004357103215148,0.12099709119170818,0.19379807687534586,0.23919163775251767,0.16806398758188765,0.27468211468659554,0.2303765213126706,0.23698505074340862,0.2280191860668995,0.2302338611862893,0.07712249895718569,0.19319489047370486,0.259630041773286,0.19070637765757625,0.13532534740169738,0.1971528247618909,0.23384153175499534,0.17638647079795072,0.16827573679022712
