parameters,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,"Australian Capital Territory, Australia","New South Wales, Australia","Northern Territory, Australia","Queensland, Australia","South Australia, Australia","Tasmania, Australia","Victoria, Australia","Western Australia, Australia",Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cabo Verde,Cambodia,Cameroon,"Alberta, Canada","British Columbia, Canada","Grand Princess, Canada","Manitoba, Canada","New Brunswick, Canada","Newfoundland and Labrador, Canada","Nova Scotia, Canada","Ontario, Canada","Prince Edward Island, Canada","Quebec, Canada","Saskatchewan, Canada",Chile,"Anhui, China","Beijing, China","Chongqing, China","Fujian, China","Gansu, China","Guangdong, China","Guangxi, China","Guizhou, China","Hainan, China","Hebei, China","Heilongjiang, China","Henan, China","Hong Kong, China","Hubei, China","Hunan, China","Inner Mongolia, China","Jiangsu, China","Jiangxi, China","Jilin, China","Liaoning, China","Macau, China","Ningxia, China","Qinghai, China","Shaanxi, China","Shandong, China","Shanghai, China","Shanxi, China","Sichuan, China","Tianjin, China","Tibet, China","Xinjiang, China","Yunnan, China","Zhejiang, China",Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Diamond Princess,Cuba,Cyprus,Czechia,"Faroe Islands, Denmark","Greenland, Denmark",Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,"French Guiana, France","French Polynesia, France","Guadeloupe, France","Reunion, France","Saint Barthelemy, France","St Martin, France","Martinique, France",France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Holy See,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malaysia,Maldives,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Nepal,"Aruba, Netherlands","Curacao, Netherlands","Sint Maarten, Netherlands",Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,"Bermuda, United Kingdom","Cayman Islands, United Kingdom","Channel Islands, United Kingdom","Gibraltar, United Kingdom","Isle of Man, United Kingdom","Montserrat, United Kingdom",United Kingdom,Uruguay,US,Uzbekistan,Venezuela,Vietnam,Zimbabwe,Grenada,Mozambique,Syria,Timor-Leste,Belize,Libya,West Bank and Gaza,Mali,"Yukon, Canada",Kosovo,Burma,"Anguilla, United Kingdom",Botswana,Burundi,Sierra Leone,Malawi,"Falkland Islands (Malvinas), United Kingdom","Saint Pierre and Miquelon, France",South Sudan,Sao Tome and Principe,China
L,43664.115331107554,904.0903185683042,6012.456055586316,741.2317894329242,36.41455334750341,24.525334309904913,6134.355028429459,4423.275160698164,103.75158105117674,2981.089625724596,28.439136384744234,1022.9350281226638,435.5312831963242,235.9786761447438,1354.2300194160227,545.706282778334,15121.157349864632,1982.4012805934851,92.60538435440702,6558.356150115669,15604.458405726029,79.6969950298431,26002.32108615666,52086.081624668615,186.9144699486014,7.18788890429581,14270.394541304951,2027.4656919802896,303136.75316607894,137.29622961374176,2742.3161168340234,669.9978929167827,279.5256462365009,119.67365045586382,2815.92267602335,8552.340232240118,2176.458123598374,13.010182341533426,268.12749997735244,117.90556706499387,254.2973384153591,1063.978652904915,21443.981130042775,26.005796849399268,38429.606093214104,420.5846763144311,39830.89776896618,991.2092791546145,594.6157952237902,576.9879850672987,327.8453312117591,139.67239717437462,1465.3182976445214,253.25554042733668,146.6204768015718,168.43698434716404,322.9846953118244,3042.908375507947,1273.8719480047414,1058.351455905722,67864.30776956366,1018.3098076310072,820.9626070195135,642.9530214738969,936.6387341784229,98.26088210964635,134.5750687429244,51.90970445248538,74.8210279333139,18.05069207626975,259.15232505333046,778.4564014727758,852.4160270064992,190.1569978152907,549.8621998827784,181.4968592828895,2.0000000000173648,76.32168059223757,178.90690226160586,1237.644253628055,14838.858389017465,251.9900572206761,2095.940504657209,725.13242767292,1683.6983502904711,2092.876114305614,711.299578976414,1804.8424677643557,865.7702374899817,7670.938399425116,184.77855822556862,10.989663519064731,10037.393274094436,1104.1400642688889,10118.709688575622,51041.7233032186,13369.016881995209,3780.850794381793,377.648504879002,38.263515776207456,1702.095376995215,196.66460663830063,149.73656235232338,18.143456606868106,5826.34897124605,135.17517127957026,57.79945317678101,148.8255617745952,412.65664957718155,6.287310886022464,38.04837057081936,170.21118003583805,174958.1634758207,780.913785251733,720.6585786823731,162899.40016178045,10734.62450307398,2596.9906965725254,1141.9387000371416,2454.4833603451407,93.48868572008014,131.7041215120634,10.119537077136387,3394.3272612040187,1801.9191213997037,91985.6465396239,14714.996272772622,99894.67752110753,2502.6515229944744,23243.25573039911,16090.76833360812,210584.50730142172,628.4678278980974,16469.092479479554,442.47207205286514,6615.898739551366,697.8913662870009,10298.193966379498,35226.899548735615,862.551931245923,855.6598644222181,715.5188515505038,184.97100477697848,80.41866119319417,1425.3742224823907,3699.8222542263875,135.74604194595247,6201.67184493814,716.1177981717225,483.56734696371785,7.4127199803067345,334.8166255222594,52982.71991082592,4849.063683869898,95.65986190131397,47.952122756127494,320.57258554394423,6051.9205001576065,139.96427877575488,99.66723244580751,15.387496509835774,75.58567375787162,42242.464324366425,1466.6902573835678,19.325153729009497,714.5230989195711,19467.983464060177,1596.02293991581,7683.7701804165035,3304.9231450228235,58488.80642550572,8634.074189731813,8.393191672715227,100148.95652749023,10051.48223965445,15448.442552938224,25856.54151833345,29915.022411700258,14805.1150188283,261489.19749104368,411.8600523833244,15.772082131943751,15.022704263904028,699.2144095393273,50777.46087489269,10185.075974720454,22260.203749209762,1569.7835393916152,1431.2194626593507,1009.5130150131547,30328.680774368007,215553.6215704055,4674.947806598345,1571.75897915393,9.977842061829636,27631.313272597297,29256.45064739708,429.03891320522837,539.5564127221778,2908.990715724441,125.60277765417116,114.40822336755689,995.9984046220421,132825.2209746359,114.32370075472518,16216.219811508368,19292.11726579833,127.17222877432218,73.8401415871153,533.0842294390926,138.32389815982526,321.29654920281956,11.280281582163832,211217.49963815164,636.3743532251965,1280607.6938491124,2186.2715005151827,472.3438120806859,273.92311515172497,39.704899591198085,21.994775833312676,99.40059772457478,46.175578000996886,23.86676449797003,18.42833635773851,65.597242286496,396.1964406920464,821.6011795593333,11.899886534644034,930.9687656461798,162.48275136601447,3.0199905160734652,24.05138120734375,28.499088048258788,433.41870790502173,48.27943146680002,12.9649788044516,2.0002148192987277,52.00010812973867,187.46522334398125,82346.63828122054
x0,103.77324748355572,33.79465045777902,56.73553403775692,29.4948781924291,23.849925737251766,20.75296232961324,47.67763621863271,61.08938178461311,13.331006433933736,61.69618733576974,20.533991996246264,57.53258434027344,54.13911168937753,37.74525246603456,62.06934359087619,28.172061793662362,31.801345842745356,41.60820514790503,27.882361944084177,67.57483152951204,52.93662886705387,14.796296753659835,60.76569208483931,65.8839945853885,49.77062192130813,25.37903338256926,78.80059723045962,39.26327611876715,74.04266210075741,9.860808157609528,50.76309206832928,25.46058548030701,41.589326896377564,54.06249183320644,47.99748561767692,50.7894511794214,67.17532569300319,4.288292471076041,19.397717842944708,18.230117372525527,14.43556464275542,29.30158589501337,82.7596001747691,13.821879732686615,51.753154793927436,23.062948565881108,61.746146865988656,13.326121346424195,22.846640934122785,11.318658428544197,12.326918444806818,20.25509507637473,12.865079128922874,12.240312383179997,14.872116333503174,12.497793911418508,15.090405237641079,141.65151308636115,12.712124504545088,63.58466107157965,18.716659078755203,11.911483347341068,146.13240195113536,13.668179700262824,13.096251643477602,13.285709939289719,11.617659674883441,59.978151034586475,14.506310491953649,5.967403141718033,11.376831609217753,17.48299443924785,56.26997180959555,23.933988186086125,13.581846184131274,22.271228350694294,97.62557686638947,14.435112584716675,10.628922021900138,10.836366808998173,57.17696275299546,33.17345999328748,64.28905309685058,26.19489637602726,39.24700037010546,38.36847144567803,8.466844189412893,35.67977291841352,26.984207062427693,32.64361825484911,17.414538583621248,8.08683566276687,41.119180490423055,28.810552633411607,51.08335316745908,60.078593164357805,79.6346200593028,69.25486164802183,40.146693052093525,11.624591200137806,34.748268930032,48.40664515451333,30.568213869678505,14.303517005269487,74.10448346931884,31.674801523550812,15.211481449421408,12.286497636665139,18.364093437138187,15.169151096945876,22.74593828066822,20.38834827282706,74.37842036698578,52.324142160065186,51.854746930015104,66.21791196841592,64.22687963053562,34.171195474368396,45.90940313737431,45.67752739281823,32.0633094470409,34.66711629903127,24.32933729177754,43.343067601744345,28.322054269641427,95.03441314411056,50.49646391442539,43.682862956669744,47.99971254562068,45.47041242133575,44.61062958666641,60.95377016375578,45.4042624644857,83.98749637861063,25.468027434329176,47.354754832964566,42.44956398078457,42.965631600229145,91.54092899479865,27.88230193642118,31.39856727907533,35.22231251811331,35.284368229369896,18.91892353545396,36.10882852342041,29.354009568595824,15.213750288225642,68.2364275160286,52.242500191659424,27.959077811333586,12.884732789333846,14.269932056936133,67.263368054468,41.461611444734615,29.67431792426264,33.92414394214343,16.48601784729594,49.1091647259635,97.7869454357389,18.284231476442198,13.783693414861336,19.305886669471146,41.28416031811844,33.24814335759827,29.750324149537985,19.69706941092838,83.59028861814929,45.10762530801319,31.171409723721226,58.75325421429636,74.94798646842449,39.572246547563914,25.35123727031966,59.65158132701568,74.711013703472,42.23805000294598,36.86136727758876,63.18015887245256,49.4651241815263,92.34948875460601,43.47505237636622,15.073206417682451,24.00550751493473,43.435737410972166,60.705265489807566,40.822991116775924,91.57616678415312,36.21983012468346,24.394795127569758,42.60779666855595,78.91083163714829,61.36363738301793,124.03446386942119,53.200609365872864,8.429928480582232,77.76656518779062,33.423516152022444,62.55121607426494,37.94781754174171,67.97598206193068,34.768840965079164,11.341951179812568,31.35031635178745,34.49406495027248,24.43365009105004,52.93483543391159,86.31351386515195,24.922574529055282,24.73524752088757,25.70040192109887,26.629367586870522,18.17153777591122,14.478331433771624,76.57523890602747,18.4911341966523,84.2234921190878,30.09330491409873,33.63186256757363,60.901887633859815,25.66415938516272,16.090975911023918,30.508146690646196,18.374638806939547,24.48931408079751,15.88479075638337,19.16361851540815,29.40920803065705,32.8760599163651,9.557531878616814,21.71378166784791,19.860203404341185,-0.8297483876403859,12.7781785812329,33.371519170367634,36.14230960180282,18.971158727653716,7.705200074993667,271.0124154049422,23.33501593088089,28.45638238964924,17.995491381068767
k,0.07810020834272194,0.09297938896180631,0.08992432085621009,0.17024194709933302,0.09681087136356602,0.2018836478847092,0.09195452130604831,0.06900930374117983,0.3129652181398164,0.2343423905340715,0.2751310973159616,0.22758052212839683,0.2777509912864205,0.12671811963721746,0.21705369686998818,0.2136097521116006,0.19045428039663026,0.13673514322589161,0.1169506493556568,0.07512580871191135,0.15834417774676068,0.18610529048886681,0.13875729867694464,0.1251365623265084,0.0755753486095912,0.09174952610534842,0.08264156057342546,0.10658246030637739,0.09331077605994774,0.228042457945159,0.07065551915592537,0.13801032891689674,0.12750737792345193,0.3217114611197215,0.0946364537218441,0.09919677644293914,0.10485067147567942,0.5663345363231973,0.24638647836417926,0.2551598392048917,0.2858820430955849,0.13022195624707383,0.1237811203097465,0.34203661375934896,0.1043392944799964,0.1147459990421998,0.07681355492051548,0.2828107701101773,0.05961668126925477,0.24016992625458491,0.18360250075734053,0.07483246651224738,0.21516918840951288,0.21960889861003605,0.3037225657316439,0.23532317518011142,0.22130716568592515,0.0187931876048993,0.2812750592420032,0.1561114818943374,0.233768014110389,0.2851672692402811,0.02242046167982989,0.2497083970903817,0.2950828081882872,0.27969177877773316,0.19453011863347977,0.06543822400003334,0.20522833933980297,0.37492589535955345,0.23032131080074186,0.15015056957432302,0.028258222746686486,0.04112831436999854,0.19602233725027252,0.06375069367128289,1.186463705884972e-13,0.23108136528367526,0.24060704094287944,0.28905269585990184,0.0823692368448225,0.1639203796030136,0.06901196119502728,0.14338985209598235,0.11298434148317049,0.1467069121464447,0.3828331832679363,0.12974272636856546,0.15214690728709207,0.1442495417415254,0.28910068014709267,0.3828413028827193,0.10582485494151433,0.30818323644661333,0.10366848058500766,0.10951921196371377,0.08210961875649435,0.07722643261138712,0.2622454512617364,0.28188210680092396,0.13098015654623762,0.15096171576551595,0.12546646273500517,0.20324061204535704,0.0996779079966743,0.10190319361078051,0.16176519112838064,0.2174851837026146,0.24054814843626127,0.11238199852015508,0.1852613534502003,0.2099482481794949,0.13935080396893748,0.11077641888265365,0.0926682942432439,0.1435567517057551,0.08685301863499299,0.12829082387905671,0.11812071119261923,0.1356844991733049,0.11728901799857218,0.09027070153491061,0.12432165806409891,0.11435519809915358,0.177442843472021,0.10258890270260512,0.10169994841270828,0.10324611145616032,0.09081976786862797,0.13470163811671945,0.14726873430713358,0.1078838382782099,0.13241086722012876,0.12796128368172985,0.16793597170854432,0.10055098935154964,0.08415512497438456,0.17347117493506434,0.07958077179379178,0.13335155047491776,0.12903250325779653,0.1385891081926516,0.1440983858182592,0.23826000713330847,0.15078811359871944,0.18087035216692998,0.15591630692861222,0.12181645251470127,0.2734643667401862,0.1338199245897876,0.18267520367746504,0.23540955433294125,0.104028482102872,0.12021694553590753,0.19462736003687625,0.08653483316490698,0.20638886695608025,0.11445706618811731,0.10430093255474417,0.19833786134668072,0.16773349648128008,0.1911177183111429,0.11856786134627953,0.2309750289282116,0.0748102677833583,0.263959763630435,0.10303139232253504,0.12833164316931217,0.13249763639442474,0.12774401011696773,0.08172953785212864,0.10347271184513425,0.24405152909147296,0.11272366873204766,0.10853471233471293,0.11166539618445114,0.1336966183219039,0.10986198542161958,0.11211170064153379,0.1297111617267493,0.0643341987113523,0.302996298191256,0.21583861682235758,0.07185345433792735,0.11624537744073217,0.14050155401505157,0.16631033347910598,0.1135349009414081,0.12913740902597381,0.18464273434982018,0.06325194758578154,0.14742705677042628,0.06288044073117201,0.18306673044533123,0.33833882326653153,0.09275339251082254,0.1540376452256843,0.14500967770891252,0.19329658432485453,0.17232321009286605,0.10447747571165387,0.23404769623702548,0.14699760608744386,0.14781518251100503,0.06669789803112236,0.12382422607269565,0.11520599613035751,0.11873016161247477,0.1636631448922485,0.1908866867343923,0.22277090344968012,0.20008383578313851,0.17097974681863906,0.11529204731173755,0.11775296279228899,0.11464884422177708,0.17652170645866683,0.06885697606213366,0.1532258072953161,0.11502140486930233,0.0824600793834255,0.13263646981514632,0.14700163665399507,0.5803097245350469,0.2909753069498969,0.1736568562911433,0.1716775136419885,0.12776354369722934,0.10042698052795898,0.14379029634689114,0.2061793098284927,0.3313543254550471,0.1649228559022249,0.08054408547160917,0.14079688373488236,0.13357964781879964,0.2787595874074125,8.406488979005185e-07,0.6111523247755719,2.9999999999999996,0.21347254926468812
L_std,34241.141635233485,19.174527733478193,278.25170508324703,4.930069175539937,2.2293685342476475,0.2623484247268151,215.49766191831768,550.5748867868676,0.6125391272968781,6.963966031633025,0.19112063924629294,2.342108992981363,1.132791428417047,3.250564369633365,5.168138086935018,2.170253324137019,77.51140593397811,32.22565824405181,2.182373574610367,386.6157012683477,580.1064015055572,0.5740208720341896,655.8691737872011,389.47799732146956,43.84433305824654,0.2465382517009936,9692.803722178041,49.06351339559505,24050.195118121344,0.7667793767946658,215.13952907308243,7.116124062279019,40.86011802086951,0.6305001823452372,203.04204112485638,391.2009930404576,41.4689530794467,0.08496711552363206,2.214562871138793,0.6031422704307298,1.7386487073833754,8.972127381281407,195.1221457414707,0.22257052837694022,1289.9085634297976,15.155929285347653,5070.68184012889,0.7160499375328929,9.309272566469753,0.9323892956112684,2.802956467157448,1.7225314695761822,10.271936127427344,0.31309215795305206,0.2489747936214057,0.29031055990388055,0.7045419587649993,2594.94109332521,1.2024246267475533,9.479512157193527,180.44994245549648,1.1205079622057834,614.7672317845814,1.256078184013686,0.9470253856442675,0.6969661499932271,1.0502548661236228,2.279466895778979,0.1920836837109122,0.05487325853741867,2.0220171673914207,3.6359581364837275,73.32003194971091,8.811497719191097,1.4843479543597302,3.3688666504337546,2.4701692162330828e-12,0.15718443412256058,0.7163825152893936,3.584171651152473,1308.1568903071063,6.137543117416473,544.2516536406004,5.651827876579662,36.82462857967321,14.172113242008704,1.6773632427122984,20.012558351871927,4.164555530785949,57.701227708413036,0.9169058190944195,0.07595308900445628,112.8435004613806,8.573078277019691,281.6924713967262,6650.616933810716,629.8147051007377,2377.1722909607597,19.423665243383798,0.33106870271747474,11.887514281434981,27.37825559152076,2.2959975586207224,0.2604920774314011,68.70696364251087,3.216977442218222,0.6133392291452787,0.9954409321763779,1.9177310045067577,0.19518573857543595,0.41251071386594124,1.3908339373866652,1416.0291184351101,88.18865732324852,11.672344667596484,930.3850614454587,3560.5896570505915,18.169927896651078,42.4663826368725,71.2271282372313,2.8387919410701876,7.661290454496925,0.2739706572575594,42.22586836776578,3.8605969138960505,5395.943413740086,259.73474149891587,726.4053517323508,80.77542252406975,173.82665157812133,153.8894117074987,1920.9749384626314,30.04521553121714,188.81493422077682,4.47023923481636,229.1953778237406,69.42912706883821,79.85943957434618,8835.107231041933,13.678792601889066,11.403291989325636,5.0547937439992054,5.375144429383925,0.6765965360208097,14.507555171497364,26.49266448112321,2.4163893281980706,42.27530920701334,38.70858898406762,4.863461274975718,0.1065171911421356,2.103242983365125,1634.9102567266432,95.4768304606657,0.47935123620164366,2.862351409374334,2.0444427997168946,98.70552478085654,17.385145305664985,0.9314729759861862,0.18669932496253208,1.0334764938072087,349.77243290179274,4.8520760461835994,1.2215644175028477,6.3422123591813575,6944.399463858828,11.748924094873985,49.65855266866035,40.615139219012256,5191.248946066039,215.5671182717327,0.3236902026827211,6780.637938175351,216.60399102461696,248.3521654676204,261.73029262848803,1017.2237170557587,239.6612014439862,9335.170442411572,60.5097291578378,0.2589316067464996,0.36580616356636325,22.536438802230453,1357.7328435268848,74.21848394815963,340.2407160215207,25.32768503744366,9.013447055060887,38.24212963421426,11298.03826772062,1240.0195040537117,2847.710026011065,119.14092051330837,0.07397423641121521,357.1387547509897,174.71783660776663,3.52121933284913,26.424021087340158,13.020342028319966,4.5807432594636275,1.1050186900482213,10.698128150895903,1125.1063925558287,16.00871856404722,251.22767682918942,395.85262103218184,3.335171811433762,0.9878233358498281,3.221037725562907,0.9292793080037258,1.9818913205598712,0.20881554797988297,2955.49475917,13.118833778797594,19073.755386936242,21.135864054266687,34.364057339613325,1.703944223387368,1.5460787290555378,1.7207171836026,5.9908493374679255,0.8742521677582729,0.28796968112339033,0.2661570166086946,1.3631779451761097,10.647943997702797,18.50487585439222,0.33854072267600244,17.622866804372777,2.6293654504464015,0.028261383204514896,0.6144671789304933,10.662450742048136,71.80780844871747,3.237656094989446,0.29444839323394734,0.021386374544089582,2.7268239358453283,9.685760370648902,224.48375654817903
x0_std,11.734967612866225,0.6289943618529649,1.2126115463889875,0.19231516817243585,1.7122553755872112,0.2808063545802404,0.9353734585721363,3.535040249558935,0.15125234700139362,0.06537973152364371,0.17503232657308765,0.06596378208771046,0.07004741014170138,0.3685436963963728,0.10899183760507361,0.11398891359527166,0.15346957351826546,0.395911785559025,0.5996073051542071,1.5347889674006725,0.524429036638583,0.19997578491463816,0.4086923727440122,0.19667175316894858,5.793734642261828,1.1886755930741082,10.382123113296455,0.6485771348827349,1.4297390161714396,0.17887388705699475,2.2902833882283997,0.29972907152037886,2.4236884452007166,0.14338486529740654,1.7790665950845088,1.0348828545993707,0.6038539669021893,0.14522705120700216,0.20918479392304365,0.13538438334817532,0.1728994470760234,0.19762374938752536,0.20498701083721502,0.2038652576641229,0.8154989583330325,1.059505169521076,3.1365100584975973,0.030593198993247566,1.0271071251371358,0.07466563247497068,0.4426024514247678,0.8002300468937151,0.3367442763523682,0.05910355128728467,0.06896850620828274,0.07973490292625002,0.10199299568970219,73.27631866100765,0.04022197235869168,0.29089956042349885,0.1186035475224788,0.04682166609146244,50.48801269565467,0.08734489892863002,0.04205451380621276,0.3001839374604864,0.3960292891346385,2.0785016429246417,0.12454189747031075,0.11670372650791033,0.3651327718898231,0.25311446033070173,7.057369316695265,3.1101032262617245,0.134459981771057,1.2176490043680686,4.963965573218863e-26,0.09428300472252847,0.18579544077464819,0.12327966548767771,2.088021945863783,0.47603645597390004,6.076983850875432,0.23287994298436437,0.5073661794558729,0.1928097484890373,0.08110120048633206,0.24815458860368472,0.13057875033173752,0.218414751869427,0.14044327889848743,0.16808757871972718,0.33087816019757005,0.1275789743395742,0.6635685587441956,2.4899635648732326,1.0901705416560916,10.70301934078652,0.6358426542882006,0.2078296778436275,0.21269461849243387,1.9549043581113026,0.37988695041730813,0.37752729092201476,0.3360259654110551,0.7145961567712658,0.32681337421131795,0.19872638616437896,0.12528520315717495,1.1941987816100634,0.3040682289406151,0.23852237116284344,0.21496795697082038,1.894026407244344,0.4415277695140069,0.1676684260979408,5.6668603475082975,0.221017770887653,0.6845017194759067,0.4920532182959435,0.7717930689985364,1.4716136651774139,0.8693019429666017,0.30249687589919944,0.06610043901776155,1.0903627522286603,0.4235149276151116,0.23768473598317835,0.9746834287500595,0.1721482809501973,0.2592084616776868,0.3020284322050615,0.872326388024194,0.2682208636046743,0.3103063835265759,0.723589396295559,2.63041760222355,0.3227193244383027,4.1916586395901145,0.3622661144165891,0.4021316983422292,0.23471245613172526,0.5637037206964065,0.25150691492191374,0.2828944840940264,0.21186594229220024,0.47779076471120785,0.21091414124426316,0.5212996705251909,0.2901650359216552,0.43792323569602015,0.16156862318743703,0.550823230332503,0.44533848106289925,0.14414266280206933,1.8213592801994125,0.16684206547578553,0.369169924172866,2.3873690487436225,0.25876181785333047,0.37218623308762117,0.3203426251385291,0.2302524511001823,0.08588044667509348,1.997435181937642,0.18783182236963233,4.572597776788572,0.18655359435204785,0.21359915980245323,0.2442506099112855,1.8136913054580768,0.6222545040039491,0.711484168905271,1.1344921850545813,0.5678081498047667,0.40480535139400975,0.27001854486452626,0.6182961504095507,0.40513182323165053,0.5569997986349007,4.75242177216031,0.408556725363781,0.5704995195430197,1.1552023325625782,0.4673766580880331,0.1591667506765354,0.24917655123899068,0.432777016086583,0.20378789262618446,0.5107410434772707,8.574665296459772,0.16704271296978015,12.962742604121855,0.7864524278814768,0.19408653495009248,0.3527104578432784,0.1849563376301452,0.2818705677692699,0.7420265573673992,0.13283888858511358,1.0472547491923578,0.2795757829183989,0.2991074055266794,0.18612899532643537,4.929989418633286,0.3003235057532342,0.4254056613753144,0.6584477871534862,0.34128305427435607,0.1547264372357701,0.18187927446852892,0.14670247315774093,0.516405765045379,0.3371919803980424,0.6311431319434632,0.3694513943084342,0.19936061558647059,2.487457604149775,0.2124449656854849,0.9636723650842323,2.4374172160300738,1.1979145897703465,0.4629665411048118,0.16129537257759285,0.30199102829009034,0.4514990939988761,0.7299906238381155,0.40798935499996986,0.7626252586400379,0.39639331083154683,0.29893849810209827,0.521844670243274,0.5531144247995171,8.977956966013156,2.149500914599883,1.3242483118356339,0.42997852723467817,25436.853852104625,0.3650236310702012,0.09594588429203733,0.12710465459418666
